------;X-----;-M----;XM----;--P---;X-P---;-MP---;XMP---;---R--;X--R--;-M-R--;XM-R--;--PR--;X-PR--;-MPR--;XMPR--;----H-;X---H-;-M--H-;XM--H-;--P-H-;X-P-H-;-MP-H-;XMP-H-;---RH-;X--RH-;-M-RH-;XM-RH-;--PRH-;X-PRH-;-MPRH-;XMPRH-;-----L;X----L;-M---L;XM---L;--P--L;X-P--L;-MP--L;XMP--L;---R-L;X--R-L;-M-R-L;XM-R-L;--PR-L;X-PR-L;-MPR-L;XMPR-L;----HL;X---HL;-M--HL;XM--HL;--P-HL;X-P-HL;-MP-HL;XMP-HL;---RHL;X--RHL;-M-RHL;XM-RHL;--PRHL;X-PRHL;-MPRHL;XMPRHL
971;4304;4304;4304;3727;4304;4304;4304;4304;971.6;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;288.3;1356.2;294.8;1766;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
4336;4336;4336;1243;4336;4336;4336;4336;2219.6;1243;4336;4336;4336;4336;4336;4336;4336;4336;4336;4123;1428.2;3808.8;350.5;2226.2;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;1243;4336;3460.5;4336;4336;4336;3835;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;3404.2;4336;3643;4336;4336;4336;4336;4336;4336;4336;4336;4336
4304;4304;4304;4304;4304;4304;4304;3051;4304;4304;4304;3567.1;4304;4304;4304;4304;4304;2567.5;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;1707;4304;4304;4304;1876.5;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
2655.5;4368;4368;4368;4368;4368;4368;4368;4368;1690.9;4368;4368;4368;4368;4368;4368;4368;1397.6;4368;4368;500.4;4368;509.4;4368;4100.2;4368;4368;4368;4368;4368;4368;4368;4368;4368;1691;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;2037.8;4368;4368;4368;4368;4368;3607.5;4368;4368;4368;4368;4368;4368;4368;4368;4368
4240;3035.6;4240;4240;4240;4240;4240;3318.8;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3654;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3660.2;3367.4;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;2701.6;4240;4240;4240;4240;4240;4240;4240;4240;4240
4240;4240;4240;555;4240;3731;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;554.2;3188;546.4;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3819.6;3819;4240;4240;4240;1932.1;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
2437.8;4240;4240;4240;4240;4240;4240;4240;4240;1546.4;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3748.5;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
1946.9;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;331;2086.4;341.6;355.7;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;2747;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256
4416;4416;4416;4416;3862.2;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;403.3;4416;3062.5;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;1987.1;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416
4352;4352;4352;4352;923;4352;4352;4352;4352;4352;923;4352;4352;4352;4352;923.6;4352;4352;4352;4352;892.3;2441.2;922.9;3075.6;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;929.3;4352;4352;4352;4352;4352;922.4;4352;4352;4352;4352;4352;4352;4352;923.2;4352;4352;4352;4352;4352;4352;4352;4352;4352
